TrackId,TotPop,AgeGroup0,AgeGroup1,AgeGroup2,AgeGroup3,AgeGroup4,AgeGroup5,AgeGroup6,AgeGroup7,AgeGroup8,AgeGroup9,Male,Race0,Race1,Race2,Race3,Race4,Race5,Race6,Hispanic,EduLevel0,EduLevel1,EduLevel2,EduLevel3,EduLevel4,Income0,Income1,Income2,Income3,Income4,Income5,Income6,IndiInc0,IndiInc1,IndiInc2,IndiInc3,IndiInc4,IndiInc5
17.01,0.032886196,0.035153798,0.112366604,0.236032643,0.20527307,0.105461394,0.082862524,0.059635907,0.060263653,0.058380414,0.044569994,0.439655172,0.343012704,0.519509982,0.003176044,0.04446461,0.001361162,0.025862069,0.06261343,0.060344828,0,0.036984353,0.23257468,0.471550498,0.258890469,0.189847716,0.119796954,0.09035533,0.124873096,0.14822335,0.100507614,0.226395939,0,0,0.086526576,0.147095179,0.229913473,0.536464771
17.02,0.052686552,0.008492569,0.111313315,0.352138308,0.23718532,0.101607522,0.061874431,0.039126479,0.041249621,0.026994237,0.020018198,0.489096573,0.707731521,0.111299915,0.001132824,0.080430473,0,0.020957236,0.078448032,0.07165109,0,0,0.045660509,0.45172534,0.502614151,0.090536665,0.01556739,0.069643589,0.230643179,0.257681278,0.153215895,0.182712003,0,0.007582516,0.034344335,0.245316682,0.300178412,0.412578055
18.02,0.036914905,0.028169014,0.113179074,0.208249497,0.186619718,0.121730382,0.077967807,0.069919517,0.077967807,0.066901408,0.049295775,0.49676637,0.409862571,0.431689572,0.00323363,0.058609539,0,0.019401778,0.07720291,0.067097817,0,0.028022833,0.361702128,0.336274001,0.274001038,0.090473337,0.124026363,0.25524266,0.088076693,0.223487118,0.104853206,0.113840623,0,0.123117223,0.169613621,0.246234447,0.082514735,0.378519974
19.02,0.033691938,0.022364217,0.082534611,0.142172524,0.193823216,0.126198083,0.080937167,0.096379127,0.085729499,0.091054313,0.078807242,0.571744907,0.289636847,0.542072631,0.004871568,0.073959256,0,0.023914969,0.06554473,0.054915855,0,0.028963415,0.265752033,0.368394309,0.336890244,0.042923434,0.071925754,0.226798144,0.318445476,0.211136891,0.052204176,0.076566125,0.014792899,0.047337278,0.215976331,0.201183432,0.269970414,0.250739645
21,0.037616198,0.053222656,0.173339844,0.167480469,0.138671875,0.103027344,0.075195313,0.080078125,0.083007813,0.07421875,0.051757813,0.523601745,0.27608092,0.570408568,0.00198334,0.046410155,0.002776676,0.020230067,0.082110274,0.062673542,0,0.042450766,0.516411379,0.287089716,0.15404814,0.068387997,0.180739707,0.200279135,0.219818562,0.145150035,0.080251221,0.105373343,0,0.035467128,0.317474048,0.150519031,0.10899654,0.387543253
25,0.033915755,0.081176471,0.117058824,0.132352941,0.131764706,0.127058824,0.077058824,0.083529412,0.080588235,0.095294118,0.074117647,0.515178179,0.026396832,0.901451826,0,0.007039155,0.002199736,0.012758469,0.050153982,0.045754509,0,0.221764975,0.596707819,0.120713306,0.0608139,0.142857143,0.336675021,0.366750209,0.098579783,0.038429407,0.016708438,0,0.167400881,0.104258443,0.543318649,0.079295154,0.074889868,0.030837004
26,0.016756442,0.083870968,0.129032258,0.135483871,0.150967742,0.083870968,0.078709677,0.076129032,0.073548387,0.105806452,0.082580645,0.447907391,0.066785396,0.846838825,0.003561888,0.019590383,0,0.010685663,0.052537845,0.043633126,0,0.123439667,0.533980583,0.281553398,0.061026352,0.249466951,0.228144989,0.32196162,0.104477612,0.095948827,0,0,0,0.075709779,0.621451104,0.186119874,0.116719243,0
28.01,0.066264791,0.427083333,0.328935185,0.093287037,0.05625,0.033564815,0.016435185,0.018055556,0.01087963,0.007407407,0.008101852,0.422427381,0.297455528,0.513397883,0.003377618,0.099076785,0,0.028822337,0.057869849,0.070929971,0,0.070942663,0.129251701,0.520894072,0.278911565,0.155897436,0.061538462,0.180512821,0.293333333,0.162051282,0.146666667,0,0.012396694,0.012396694,0.232782369,0.258953168,0.272727273,0.210743802
28.02,0.051656993,0.50864508,0.267211569,0.063502043,0.031122289,0.027978623,0.022634392,0.016661427,0.015718328,0.016661427,0.029864822,0.435008666,0.255632582,0.580011554,0.004332756,0.085499711,0.002599653,0.021952629,0.049971115,0.060369728,0,0.244620612,0.471121178,0.262740657,0.021517554,0.148725212,0.488668555,0.137393768,0.073654391,0.076487252,0.075070822,0,0.053968254,0.085714286,0.320634921,0.171428571,0.133333333,0.234920635
29,0.038093675,0.024680073,0.095521024,0.252285192,0.204296161,0.122943327,0.077239488,0.08226691,0.050731261,0.052559415,0.037477148,0.510771641,0.590285938,0.274578927,0.002350176,0.039952996,0,0.012925969,0.079905993,0.051703878,0,0.047715736,0.251269036,0.352791878,0.34822335,0.040706605,0.0906298,0.095238095,0.252688172,0.26344086,0.117511521,0.139784946,0.007953724,0.006507592,0.159797542,0.232827187,0.231381056,0.361532899
32,0.03619869,0.017848529,0.039073806,0.1644959,0.233960444,0.191509889,0.104679209,0.101784853,0.068499759,0.046792089,0.031355523,0.497114592,0.715169002,0.147155812,0.002061006,0.022671063,0.000824402,0.015663644,0.09645507,0.078318219,0,0.010490978,0.157784305,0.475870751,0.355853966,0.007237636,0.121833534,0.105548854,0.17490953,0.226779252,0.131483715,0.232207479,0.017028773,0.026423958,0.096887845,0.236054022,0.209630065,0.413975338
35,0.063534222,0.017349398,0.132048193,0.245542169,0.186506024,0.084578313,0.086024096,0.11253012,0.060240964,0.042168675,0.033012048,0.787928605,0.356740254,0.532879286,0.000939408,0.033818694,0,0.048144669,0.027477689,0.155472053,0,0.126107128,0.503584985,0.161535217,0.20877267,0.156776557,0.142857143,0.371428571,0.168498168,0.118681319,0.021245421,0.020512821,0.041081081,0.084324324,0.268108108,0.326486486,0.081081081,0.198918919
36,0.01345887,0.040616246,0.12464986,0.18907563,0.156862745,0.135854342,0.099439776,0.074229692,0.050420168,0.067226891,0.06162465,0.534368071,0.111973392,0.801552106,0,0.014412417,0.003325942,0.007760532,0.06097561,0.041019956,0,0.08979206,0.2731569,0.31758034,0.319470699,0.004651163,0.288372093,0.104651163,0.423255814,0.054651163,0.01744186,0.106976744,0,0.151273885,0.035031847,0.025477707,0.538216561,0.25
37,0.002849938,0.047619048,0.119047619,0.071428571,0.142857143,0,0.19047619,0,0,0.095238095,0.333333333,0.376963351,0.010471204,0.916230366,0,0,0,0,0.073298429,0.010471204,0,0.219895288,0.712041885,0.068062827,0,0.073446328,0.474576271,0.367231638,0.084745763,0,0,0,0,0,1,0,0,0
38,0.051567466,0.448679472,0.430072029,0.035114046,0.015006002,0.022509004,0.010504202,0.014405762,0.009303721,0.007503001,0.006902761,0.631655093,0.010416667,0.974247685,0.000289352,0.002604167,0,0.001446759,0.01099537,0.006076389,0,0.096103896,0.566233766,0.158441558,0.179220779,0.081967213,0.364754098,0.262295082,0.282786885,0.008196721,0,0,0.04368932,0.359223301,0.504854369,0.09223301,0,0
43,0.036929826,0.369361322,0.30638678,0.052255471,0.067440822,0.04376954,0.030370701,0.032157213,0.031710585,0.043322912,0.023224654,0.236363636,0.052121212,0.916767677,0.000808081,0.002424242,0,0.007272727,0.020606061,0.031515152,0,0.093231162,0.478927203,0.324393359,0.103448276,0.137931034,0.064039409,0.307060755,0.139573071,0.178981938,0.057471264,0.114942529,0.076628352,0.118773946,0.176245211,0.181992337,0.124521073,0.32183908
44,0.039794685,0.107808858,0.142191142,0.175407925,0.166666667,0.113636364,0.076923077,0.055944056,0.060606061,0.051282051,0.0495338,0.42519685,0.027371579,0.932508436,0.000749906,0.004499438,0,0.005249344,0.029621297,0.018372703,0,0.197084548,0.667055394,0.075218659,0.060641399,0.15436696,0.378469871,0.281651997,0.139471903,0.046039269,0,0,0,0.136033229,0.617860852,0.171339564,0.074766355,0
48,0.017532342,0.067861716,0.138284251,0.163892446,0.131882202,0.101152369,0.064020487,0.065300896,0.058898848,0.120358515,0.088348271,0.430638298,0.090212766,0.82893617,0.007659574,0.027234043,0,0.013617021,0.032340426,0.034893617,0,0.061919505,0.63880289,0.099071207,0.200206398,0.156571429,0.481142857,0.093714286,0.216,0,0.052571429,0,0,0.073446328,0.056497175,0.697740113,0.172316384,0
49,0.042838598,0.061774268,0.087784487,0.125870878,0.168601951,0.133302369,0.117510451,0.105898746,0.075708314,0.068276823,0.055271714,0.505747126,0.527342389,0.343782654,0.004179728,0.029606409,0,0.013235806,0.081853013,0.049460118,0,0.046511628,0.16744186,0.443410853,0.342635659,0.054390054,0.18026418,0.125097125,0.182595183,0.09013209,0.135975136,0.231546232,0.020392157,0.048627451,0.142745098,0.152156863,0.237647059,0.398431373
50,0.050224563,0.025448029,0.088530466,0.227240143,0.191397849,0.139426523,0.102867384,0.08781362,0.063799283,0.040860215,0.032616487,0.477421272,0.592097445,0.239750446,0.001485443,0.04040404,0.001782531,0.018716578,0.105763518,0.101901367,0,0.023039762,0.269044965,0.413229283,0.29468599,0.010303688,0.061822126,0.238069414,0.270065076,0.131236443,0.106290672,0.182212581,0,0,0.146659424,0.196632265,0.311243889,0.345464422
53,0.062146555,0.046138743,0.054646597,0.119437173,0.178992147,0.172774869,0.133507853,0.11289267,0.079842932,0.060536649,0.041230366,0.474429772,0.616806723,0.266746699,0.001440576,0.02545018,0.000720288,0.01272509,0.076110444,0.04969988,0,0.00540358,0.194191152,0.428571429,0.37183384,0.014359563,0.086157381,0.130384836,0.181504882,0.139000574,0.165996554,0.282596209,0,0.061979167,0.096354167,0.203125,0.19375,0.444791667
55.01,0.03737746,0.072302558,0.097330367,0.169632925,0.194104561,0.142380423,0.101779755,0.077864294,0.0567297,0.046718576,0.041156841,0.476646707,0.299001996,0.59760479,0.005189621,0.023952096,0,0.011976048,0.062275449,0.049500998,0,0.237445415,0.3569869,0.261462882,0.144104803,0.048897411,0.226270374,0.223394056,0.138063279,0.135186961,0.084372004,0.143815916,0.002659574,0.060283688,0.401595745,0.092198582,0.179078014,0.264184397
57,0.02312777,0.063917526,0.128865979,0.156701031,0.16185567,0.119587629,0.067010309,0.083505155,0.064948454,0.081443299,0.072164948,0.457419355,0.046451613,0.905806452,0.002580645,0.005806452,0,0.00516129,0.034193548,0.025806452,0,0.155080214,0.506951872,0.205347594,0.132620321,0.066666667,0.328571429,0.33015873,0.107936508,0.085714286,0.074603175,0.006349206,0,0.18895966,0.437367304,0.146496815,0.133757962,0.093418259
58,0.022799505,0.051601423,0.085409253,0.144128114,0.174377224,0.109430605,0.091637011,0.09341637,0.06316726,0.09430605,0.09252669,0.50065445,0.242801047,0.657068063,0.001308901,0.022251309,0,0.018324607,0.058246073,0.045811518,0,0.140608604,0.481636936,0.198321091,0.179433368,0.061619718,0.253521127,0.133802817,0.26584507,0.123239437,0.13556338,0.026408451,0.040268456,0.266778523,0.258389262,0.119127517,0.102348993,0.213087248
119.01,0.027738403,0.049005682,0.229403409,0.166903409,0.139914773,0.066051136,0.0859375,0.088068182,0.071732955,0.056818182,0.046164773,0.497579344,0.282947821,0.584185046,0.001075847,0.047875202,0.001613771,0.014523938,0.067778375,0.041958042,0,0.045078197,0.544618215,0.274149034,0.136154554,0.169738118,0.273520854,0.097963143,0.250242483,0.128031038,0.052376334,0.028128031,0,0.07615894,0.379139073,0.145695364,0.197019868,0.201986755
119.02,0.020546412,0.026440038,0.110481586,0.264400378,0.243626062,0.091595845,0.07082153,0.055712937,0.037771483,0.052880076,0.046270066,0.463326071,0.326071169,0.572258533,0,0.021786492,0.000726216,0.01815541,0.061002179,0.044299201,0,0.139204545,0.446969697,0.323863636,0.089962121,0.191122072,0.332922318,0.071516646,0.178791615,0.032059186,0.062885327,0.130702836,0,0.133834586,0.222556391,0.184962406,0.267669173,0.190977444
120,0.050851251,0.074989866,0.095662748,0.118362383,0.125253344,0.11593028,0.087150385,0.097689501,0.089177138,0.10944467,0.086339684,0.522593897,0.076877934,0.859741784,0.001760563,0.007922535,0,0.007042254,0.04665493,0.023180751,0,0.100867679,0.60845987,0.190527838,0.100144613,0.429573349,0.268264173,0.167738165,0.064874342,0.014026885,0.039158387,0.016364699,0,0.174434088,0.380825566,0.295605859,0.065246338,0.083888149
