TrackId,TotPop,AgeGroup0,AgeGroup1,AgeGroup2,AgeGroup3,AgeGroup4,AgeGroup5,AgeGroup6,AgeGroup7,AgeGroup8,AgeGroup9,Male,Race0,Race1,Race2,Race3,Race4,Race5,Race6,Hispanic,Income0,Income1,Income2,Income3,Income4,Income5,Income6,EduLevel0,EduLevel1,EduLevel2,EduLevel3,EduLevel4,IndiInc0,IndiInc1,IndiInc2,IndiInc3,IndiInc4,IndiInc5
124.03,0.017722746,0.05681124,0.071472205,0.119120342,0.152107514,0.105681124,0.10323763,0.108124618,0.102626756,0.085522297,0.095296274,0.589244321,0.249420491,0.074640705,0.024571164,0.358831711,0.004172462,0.195642096,0.092721372,0.283263792,0.117647059,0.361344538,0.162184874,0.237815126,0.118487395,0.002521008,0,0,0.423269809,0.294884654,0.199598796,0.08224674,0,0.071246819,0.201017812,0.539440204,0.06870229,0.119592875
124.04,0.031624873,0.042005861,0.079778574,0.102898079,0.13774015,0.126668838,0.118528167,0.107782481,0.106479974,0.097036796,0.081081081,0.648480125,0.232787737,0.122629254,0.050922317,0.160041569,0.006755001,0.310470252,0.116393869,0.459859704,0.065274151,0.514360313,0.24151436,0.137075718,0.032637076,0.009138381,0,0,0.202207506,0.638410596,0.123620309,0.035761589,0.047407407,0.257777778,0.272592593,0.225185185,0.122962963,0.074074074
124.05,0.034114438,0.018381344,0.096021948,0.254320988,0.248010974,0.125651578,0.074622771,0.045541838,0.051851852,0.043072702,0.042524005,0.602842004,0.440510597,0.083092486,0.009874759,0.274325626,0.00216763,0.095857418,0.094171484,0.172928709,0.032884311,0.110935024,0.152931854,0.16362916,0.141045959,0.202852615,0.195721078,0,0.062423873,0.199147381,0.514007308,0.224421437,0.023478678,0.038811691,0.136559655,0.106372784,0.091518927,0.603258265
124.06,0.015906925,0.034302759,0.055182699,0.136465324,0.155108128,0.131245339,0.120059657,0.088739746,0.093959732,0.100671141,0.084265474,0.587293388,0.272210744,0.09142562,0.020144628,0.324896694,0.011363636,0.189049587,0.090909091,0.268595041,0.075587334,0.423901941,0.115423902,0.214504597,0.026557712,0.122574055,0.02145046,0,0.210334789,0.510917031,0.14628821,0.132459971,0,0.111111111,0.488888889,0,0.236363636,0.163636364
125.02,0.036825845,0.028023599,0.053834808,0.074852507,0.105088496,0.096976401,0.114675516,0.091814159,0.158554572,0.139749263,0.136430678,0.600178492,0.218875502,0.154395359,0.023203927,0.394912985,0.004239179,0.141454708,0.06291834,0.201249442,0.055654497,0.518699911,0.238201247,0.036064114,0.121994657,0.019590383,0.009795191,0,0.421667119,0.456964431,0.066250339,0.05511811,0.042780749,0.067736185,0.456327986,0.336898396,0.057932264,0.038324421
125.03,0.035001808,0.054727979,0.062176166,0.090673575,0.113018135,0.112046632,0.111398964,0.091968912,0.12111399,0.127914508,0.11496114,0.60657277,0.288028169,0.146948357,0.025586854,0.267840376,0.004694836,0.156807512,0.110093897,0.246948357,0.10005211,0.354351225,0.193850964,0.178217822,0.155289213,0.008337676,0.00990099,0,0.187223276,0.577482606,0.164452878,0.07084124,0,0.16307947,0.296357616,0.370033113,0.105960265,0.064569536
125.04,0.018708713,0.0155902,0.058463252,0.103563474,0.172048998,0.115256125,0.135857461,0.069042316,0.120824053,0.124721604,0.084632517,0.619235837,0.37944664,0.210364515,0.025032938,0.177426438,0.009222661,0.141414141,0.057092666,0.184014054,0.055882353,0.647058824,0.073529412,0.097058824,0.088235294,0.038235294,0,0,0.613126079,0.271157168,0.081174439,0.034542314,0,0,0.614457831,0.204819277,0.102409639,0.078313253
159,0.038041871,0.031677019,0.122049689,0.236956522,0.16863354,0.119875776,0.077639752,0.058074534,0.061180124,0.055900621,0.068012422,0.506479482,0.340820734,0.097408207,0.005615551,0.410583153,0.004103672,0.04600432,0.095464363,0.100215983,0.059182715,0.256928135,0.036636919,0.107562236,0.14372945,0.087834664,0.308125881,0,0.067264574,0.311263519,0.438406753,0.183065154,0.002,0.099,0.1525,0.1735,0.085,0.488
160,0.024394452,0.017848755,0.058713011,0.158759981,0.203851574,0.153593236,0.081258807,0.078910287,0.078440582,0.080319399,0.088304368,0.537891546,0.426069384,0.069046817,0.007746716,0.332771977,0.00269451,0.074099023,0.087571573,0.122937016,0.123175715,0.106830123,0.099241097,0.127845884,0.239929947,0.103327496,0.199649737,0,0.085452272,0.260108378,0.271363068,0.383076282,0.020995334,0,0.077760498,0.137636081,0.131415241,0.632192846
161.01,0.022841555,0.036799065,0.088785047,0.202102804,0.170560748,0.124415888,0.080023364,0.072429907,0.063084112,0.08703271,0.074766355,0.463669065,0.403597122,0.218705036,0.00323741,0.272302158,0.001798561,0.028776978,0.071582734,0.064388489,0.066881029,0.516398714,0.075884244,0.03022508,0.122829582,0.110610932,0.077170418,0,0.065982405,0.382697947,0.286901271,0.264418377,0,0.139616056,0.04886562,0.02443281,0.12565445,0.661431065
161.02,0.023663194,0.084373143,0.098039216,0.101010101,0.105763518,0.10516934,0.095662507,0.083778966,0.08496732,0.121806298,0.11942959,0.44375,0.088541667,0.435069444,0.011111111,0.302083333,0.007638889,0.086805556,0.06875,0.133333333,0.133163698,0.398642918,0.055131467,0.332485157,0.046649703,0,0.033927057,0,0.22706422,0.564220183,0.123394495,0.085321101,0.068661972,0.033450704,0.51056338,0.316901408,0,0.070422535
162,0.030170572,0.018410853,0.059108527,0.209302326,0.229005168,0.140180879,0.088501292,0.066860465,0.068152455,0.066860465,0.053617571,0.546840959,0.500272331,0.069989107,0.007352941,0.258986928,0.001089325,0.063453159,0.098856209,0.126633987,0.01082837,0.072550081,0.08391987,0.179750947,0.090416892,0.082295615,0.480238224,0,0.048746518,0.271239554,0.354805014,0.325208914,0,0.03030303,0.042319749,0.082027168,0.158829676,0.686520376
163,0.035297598,0.027480474,0.084177032,0.208273069,0.210587214,0.142030662,0.08301996,0.071159965,0.066531675,0.048018513,0.058721435,0.526070764,0.49650838,0.162011173,0.003957169,0.17877095,0.000931099,0.049581006,0.108240223,0.115456238,0.062599469,0.085941645,0.149071618,0.125198939,0.136870027,0.094429708,0.345888594,0,0.020929517,0.221606648,0.451831333,0.305632502,0.011041767,0.056168987,0.0662506,0.136821892,0.14162266,0.588094095
168.01,0.035182568,0.019382022,0.064606742,0.186235955,0.216292135,0.139044944,0.105617978,0.073314607,0.067696629,0.071067416,0.056741573,0.559785147,0.574264362,0.071461934,0.006539,0.177720691,0.004437179,0.056515647,0.109061186,0.138253153,0.013740458,0.063104326,0.11043257,0.164885496,0.085496183,0.092111959,0.470229008,0,0.039844218,0.170760935,0.511084482,0.278310365,0,0.021496486,0.105415461,0.144274494,0.176519223,0.552294337
168.02,0.032273967,0.026888218,0.078851964,0.192145015,0.202719033,0.146827795,0.090634441,0.074320242,0.068277946,0.06858006,0.050755287,0.562372709,0.520112016,0.084775967,0.010692464,0.188391039,0.003564155,0.069246436,0.123217923,0.151221996,0.017391304,0.109462916,0.145268542,0.178516624,0.08797954,0.154987212,0.306393862,0,0.051952141,0.277078086,0.402392947,0.268576826,0,0.049414162,0.157921549,0.083036169,0.088639837,0.620988283
169,0.028141125,0.017205056,0.05372191,0.170294944,0.202949438,0.145365169,0.098314607,0.08883427,0.081811798,0.077247191,0.064255618,0.627737226,0.663357664,0.032408759,0.004671533,0.140145985,0.000583942,0.037956204,0.120875912,0.112408759,0.03313253,0.170481928,0.075903614,0.15,0.069879518,0.064457831,0.436144578,0,0.029237456,0.218095614,0.431845121,0.32082181,0,0.012526096,0.036882394,0.107863605,0.132915797,0.709812109
176.02,0.029981595,0.038170564,0.076341128,0.143053645,0.116574966,0.102475928,0.095598349,0.092847318,0.096629986,0.118638239,0.119669876,0.617977528,0.28637983,0.147163606,0.014798575,0.381200329,0.001918334,0.087695259,0.080844067,0.159221705,0.111041405,0.260351317,0.089084065,0.158720201,0.120451694,0.10476788,0.155583438,0,0.104527052,0.55465587,0.26499816,0.075818918,0.02211127,0.007845934,0.137660485,0.294579173,0.211840228,0.32596291
176.03,0.045338022,0.051402918,0.127497194,0.166105499,0.15959596,0.111560045,0.094051627,0.062177329,0.071156004,0.085970819,0.070482604,0.569046756,0.34414643,0.07810801,0.01069228,0.375317144,0.006342878,0.08988764,0.095505618,0.165277274,0.102947281,0.220838522,0.041511,0.186384392,0.139476961,0.0456621,0.263179743,0,0.083949314,0.405491024,0.292238648,0.218321014,0.008551577,0.004810262,0.223409941,0.115446285,0.10261892,0.545163014
176.04,0.032931278,0.019920319,0.086511098,0.190950484,0.200626067,0.130051224,0.077973819,0.071428571,0.071713147,0.081104155,0.069721116,0.625249501,0.354291417,0.125249501,0.011726547,0.336077844,0.005489022,0.081586826,0.085578842,0.170908184,0.056862745,0.185294118,0.126470588,0.130882353,0.18872549,0.125980392,0.185784314,0,0.059514784,0.349128127,0.349128127,0.242228961,0,0,0.197146563,0.190661479,0.117380026,0.494811933
177,0.023342755,0.025869381,0.063613232,0.130619169,0.193808312,0.180237489,0.106446141,0.094571671,0.08057676,0.069974555,0.054283291,0.618092221,0.410418867,0.093629004,0.028511088,0.205913411,0.004575854,0.145371348,0.111580429,0.268567406,0.003198294,0.073560768,0.197228145,0.086353945,0.10554371,0.189765458,0.34434968,0,0.109392898,0.307560137,0.32187858,0.261168385,0,0.010060362,0.214285714,0.180080483,0.038229376,0.557344064
178.01,0.029307852,0.008363202,0.055555556,0.181600956,0.214456392,0.12962963,0.104540024,0.072281959,0.071087216,0.075268817,0.087216249,0.453602467,0.253994954,0.038968321,0.002242781,0.633024951,0.000841043,0.017101205,0.053826745,0.048780488,0.097884695,0.421401908,0.107839071,0.038987972,0.044794691,0.116963915,0.172127748,0,0.318045564,0.257194245,0.21822542,0.206534772,0.01637931,0.073275862,0.03362069,0.06637931,0.122413793,0.687931034
178.03,0.018519736,0.011758691,0.08997955,0.200920245,0.203476483,0.132413088,0.085378323,0.067484663,0.06595092,0.095092025,0.047546012,0.593611358,0.387755102,0.094055013,0.011535049,0.307897072,0.004436557,0.088731145,0.105590062,0.172582076,0.108786611,0.060251046,0.233472803,0.116317992,0.070292887,0.133891213,0.276987448,0,0.052135055,0.397715988,0.341608739,0.208540218,0.061782877,0,0.225948808,0.134157105,0.127096205,0.451015004
178.04,0.03904427,0.023827252,0.118639861,0.211715066,0.168528171,0.131546289,0.085877389,0.064780343,0.072474559,0.065773145,0.056837925,0.590909091,0.369949495,0.085227273,0.006944444,0.367845118,0.003577441,0.076388889,0.09006734,0.142045455,0.098316133,0.115154807,0.101032048,0.046713743,0.248777838,0.075502444,0.314502988,0,0.100101454,0.188028407,0.461954684,0.249915455,0,0.03867713,0.079035874,0.212443946,0.060538117,0.609304933
180,0.039093568,0.019253074,0.090234284,0.209232197,0.203665043,0.14335421,0.096729297,0.073068894,0.068893528,0.065877987,0.029691487,0.651324086,0.36717108,0.140815469,0.008196721,0.29445145,0.008617066,0.05569567,0.125052543,0.138713745,0.043397396,0.073775573,0.076875387,0.126472412,0.106633602,0.125232486,0.447613143,0,0.101994116,0.267080745,0.349787512,0.281137627,0.002301496,0.017836594,0.078250863,0.120828539,0.134637514,0.646144994
201.01,0.031559142,0.032125984,0.076535433,0.17511811,0.198110236,0.139527559,0.102047244,0.08,0.07496063,0.06992126,0.051653543,0.603488675,0.370736787,0.070554543,0.029679771,0.224160375,0.003384535,0.19083572,0.110648269,0.315542827,0.06233208,0.081676518,0.081139172,0.152606126,0.152606126,0.144008598,0.325631381,0,0.153574581,0.286849073,0.391879965,0.167696381,0,0.004039497,0.227109515,0.122531418,0.088868941,0.557450628
201.02,0.025314688,0.03375,0.066666667,0.1275,0.137916667,0.126666667,0.10125,0.101666667,0.121666667,0.097083333,0.085833333,0.607594937,0.314832846,0.099967543,0.033430704,0.184680299,0.00292113,0.247971438,0.11619604,0.399221032,0.041155235,0.193501805,0.190613718,0.028158845,0.088086643,0.257761733,0.200722022,0,0.225134409,0.327284946,0.242607527,0.204973118,0,0.129141886,0.195412065,0.144435004,0,0.531011045
202.01,0.020491669,0.024121657,0.077084426,0.183009963,0.17304667,0.144729942,0.079181961,0.083377032,0.084950184,0.080755113,0.069743052,0.568163593,0.456295108,0.048917402,0.010024058,0.211708099,0.001202887,0.151162791,0.120689655,0.263031275,0.079021637,0.158984008,0.068673565,0.166509878,0.04233302,0.091251176,0.393226717,0,0.110984633,0.19123506,0.443938532,0.253841776,0,0,0.185375901,0.015447992,0.149330587,0.64984552
202.02,0.032158938,0.032760298,0.084009082,0.185857931,0.176451508,0.143042491,0.086928317,0.079143691,0.081738566,0.077197535,0.052870581,0.550843127,0.458865611,0.064639755,0.012519162,0.227133367,0.00332141,0.104752172,0.128768523,0.224578436,0.031620553,0.119565217,0.10326087,0.083992095,0.100790514,0.181818182,0.378952569,0,0.042298716,0.192823804,0.557467911,0.207409568,0.036985668,0.070272769,0.106333796,0.113730929,0.065649561,0.607027277
203,0.029776186,0.017761394,0.058646113,0.170576408,0.211461126,0.157841823,0.090817694,0.093163539,0.086796247,0.064678284,0.048257373,0.61589404,0.617549669,0.020971302,0.006622517,0.187637969,0.001655629,0.061534216,0.104028698,0.141004415,0.029411765,0.061157796,0.088235294,0.098039216,0.12464986,0.130718954,0.467787115,0,0.055732484,0.163057325,0.40477707,0.376433121,0,0.004568296,0.100959342,0.100959342,0.092736409,0.70077661
607.01,0.07074309,0.025865724,0.070671378,0.210459364,0.274628975,0.174699647,0.084805654,0.057243816,0.039434629,0.033922261,0.028268551,0.493728223,0.378745645,0.053890825,0.007781649,0.381068525,0.006387921,0.082810685,0.08931475,0.134494774,0.011994949,0.059343434,0.096590909,0.06155303,0.163510101,0.065656566,0.54135101,0,0.06341853,0.139297125,0.267092652,0.530191693,0.00141844,0.026713948,0.06855792,0.155082742,0.05035461,0.69787234
607.02,0.025815887,0.06651288,0.135332564,0.194156094,0.183391003,0.118415994,0.084582853,0.059207997,0.047289504,0.064206075,0.046905037,0.523870146,0.316040738,0.050922979,0.004774029,0.489178867,0.001909612,0.041056652,0.096117123,0.102800764,0.013592233,0.265048544,0.082524272,0.115533981,0.04368932,0.04368932,0.43592233,0,0.028676022,0.535692495,0.305674192,0.129957291,0,0.018498368,0.066376496,0.017410229,0.159956474,0.737758433
607.03,0.046669077,0.021962233,0.09729064,0.248357964,0.238300493,0.146962233,0.075738916,0.061781609,0.046387521,0.037151067,0.026067323,0.538204225,0.327464789,0.045774648,0.002288732,0.489260563,0.001408451,0.049471831,0.084330986,0.102992958,0.010495838,0.135722041,0.096996019,0.084690554,0.035468693,0.070213536,0.566413319,0,0.062034739,0.126964433,0.368693135,0.442307692,0,0,0.080024067,0.046630566,0.061672684,0.811672684
